"usgs_site","post_Nitrate","post_NO3_NO2","post_SPC","post_Sulfate","post_Calcium","post_TSS","post_Turbidity","post_Potassium","pre_Nitrate","pre_NO3_NO2","pre_SPC","pre_Sulfate","pre_Calcium","pre_TSS","pre_Turbidity","pre_Potassium"
"USGS-06713500",211,213,227,211,NA,NA,NA,NA,190,196,407,166,NA,NA,NA,NA
"USGS-06741510",20,20,24,NA,NA,NA,NA,NA,271,438,509,NA,NA,NA,NA,NA
"USGS-07103700",NA,111,350,108,108,NA,NA,NA,NA,308,752,251,210,NA,NA,NA
"USGS-07103970",NA,105,344,103,103,NA,NA,NA,NA,103,535,96,103,NA,NA,NA
"USGS-07103990",NA,44,100,NA,NA,NA,NA,NA,NA,50,456,NA,NA,NA,NA,NA
"USGS-07104000",NA,44,115,82,82,56,NA,NA,NA,227,488,184,125,203,NA,NA
"USGS-07104905",NA,63,314,91,97,NA,146,NA,NA,59,230,59,61,NA,30,NA
"USGS-07105500",NA,62,208,91,97,NA,122,NA,NA,342,1030,293,235,NA,30,NA
"USGS-07105530",NA,109,380,102,103,NA,150,NA,NA,198,332,184,185,NA,30,NA
"USGS-07105600",NA,NA,70,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA
"USGS-07105800",NA,NA,351,NA,88,NA,134,NA,NA,NA,677,NA,104,NA,30,NA
"USGS-07105900",NA,NA,184,NA,NA,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA
"USGS-07105940",NA,NA,93,NA,NA,NA,NA,NA,NA,NA,222,NA,NA,NA,NA,NA
"USGS-07106000",NA,NA,88,NA,49,NA,53,NA,NA,NA,377,NA,75,NA,87,NA
"USGS-07106300",NA,NA,128,NA,49,NA,65,NA,NA,NA,809,NA,124,NA,88,NA
"USGS-07106500",NA,NA,149,NA,47,NA,89,NA,NA,NA,1031,NA,159,NA,89,NA
"USGS-07109500",NA,NA,51,NA,NA,NA,35,NA,NA,NA,967,NA,NA,NA,106,NA
"USGS-07119500",NA,NA,103,NA,NA,NA,NA,NA,NA,NA,273,NA,NA,NA,NA,NA
"USGS-07121500",NA,NA,49,NA,NA,NA,NA,NA,NA,NA,367,NA,NA,NA,NA,NA
